ticker,Total Return [%],Sharpe Ratio,Win Rate [%],Max Drawdown [%],Trades
ITUB4.SA,16.7830,0.4492,68.1818,10.5548,22
PETR4.SA,2.2079,0.0905,61.9048,9.5892,21
BOVA11.SA,-2.8062,-0.0998,52.0000,10.3697,25
VALE3.SA,-19.9437,-0.7883,30.7692,21.1216,13
